date,open,high,low,close,volume,dividends,stock_splits,Mkt-RF,SMB,HML,RMW,CMA,RF,ads_index,SP500,BAMLH0A0HYM2,BAMLH0A0HYM2EY,CBBTCUSD,CBETHUSD,DAAA,DBAA,DCOILBRENTEU,DCOILWTICO,DEXJPUS,DEXUSEU,DEXUSUK,DHHNGSP,T10Y3M,T10YIE,USRECD,USRECDM,USRECDP,VIXCLS,close_lag1,close_lag3,close_lag5,open_lag1,open_lag3,open_lag5,high_lag1,high_lag3,high_lag5,low_lag1,low_lag3,low_lag5,close_ma5,close_ma10,close_vol5,close_vol10,close_SP500_product,close_SP500_ratio,close_VIXCLS_product,close_VIXCLS_ratio,SP500_VIXCLS_product,SP500_VIXCLS_ratio,RSI,MACD,MACD_signal,MA20,BB_upper,BB_lower
2015-01-14,24.959195676623573,25.350227597491997,24.84647583232577,25.2340145111084,52800000.0,0.0,0.0,-0.6,0.26,-0.51,0.19,-0.14,0.0,-0.331144,2011.27,5.39,6.73,120.0,13.18,3.46,3.99,59.19,48.49,116.78,1.1806,1.5234,3.15,1.82,1.57,0.0,0.0,0.0,21.48,25.028026580810547,24.974159240722656,25.195114135742188,25.066431316427522,25.34623900967076,25.48439875434909,25.367186915792516,25.367187047388693,25.51133058839963,24.80158799770511,24.870916427762793,25.12030052594343,25.062141799926756,25.450829696655273,0.20022704456745213,0.5842287213444319,50752.41636575699,0.012546308743055538,542.0266316986084,1.1747673539774142,43202.0796,93.6345001701582,18.697318797405586,-0.2468815395734545,-0.08287635225462586,26.014883041381836,27.55380743169642,24.475958651067252
2015-01-15,25.38165095761289,25.424544015146342,25.038500789433062,25.138254165649414,51068000.0,0.0,0.0,-1.08,-0.95,0.59,0.71,0.61,0.0,-0.339928,1992.67,5.42,6.71,204.22,13.18,3.44,3.99,59.19,46.37,116.95,1.1598,1.5161,3.32,1.74,1.58,0.0,0.0,0.0,22.39,25.2340145111084,24.79161262512207,25.282896041870117,24.959195676623573,24.90034264444558,25.013562501395686,25.350227597491997,24.952214247798633,25.31232223139651,24.84647583232577,24.484871326623164,24.68986300078113,25.033213424682618,25.323445129394532,0.16825566848805454,0.48112180108120356,50092.24492826462,0.012615362322660445,562.8455107688904,1.1227442134080965,44615.8813,88.99817373909168,18.08652621772484,-0.25675404121687606,-0.11765189004707591,25.988423538208007,27.5701036360847,24.406743440331315
2015-01-16,25.095358532989064,25.4794077844162,25.092365684439912,25.459957122802734,49658000.0,0.0,0.0,1.36,0.49,-0.13,-0.31,-0.1,0.0,-0.348618,2019.42,5.39,6.73,199.46,13.18,3.46,3.99,59.19,48.49,117.45,1.1517,1.5132,3.11,1.8,1.6,0.0,0.0,0.0,20.95,25.138254165649414,25.028026580810547,24.974159240722656,25.38165095761289,25.066431316427522,25.34623900967076,25.424544015146342,25.367186915792516,25.367187047388693,25.038500789433062,24.80158799770511,24.870916427762793,25.130373001098633,25.22823085784912,0.24731697814182071,0.30296911493446804,51414.3466129303,0.012607559099507355,533.3861017227173,1.215271836280877,42306.849,96.39231675784404,27.994086208102885,-0.23590002123619414,-0.14130151628489956,25.96453266143799,27.56377114076758,24.365294182108396
2015-01-19,25.575171956537133,25.716821407978077,25.405591788133528,25.43402099609375,46796000.0,0.0,0.0,0.11,-0.74,-0.51,0.03,-0.45,0.0,-0.375581,2022.55,5.39,6.73,225.51,13.18,3.42,3.99,59.19,46.79,118.48,1.1559,1.5162,2.94,1.79,1.59,0.0,0.0,0.0,19.89,25.459957122802734,25.2340145111084,24.79161262512207,25.095358532989064,24.959195676623573,24.90034264444558,25.4794077844162,25.350227597491997,24.952214247798633,25.092365684439912,24.84647583232577,24.484871326623164,25.25885467529297,25.180748558044435,0.18679437907943217,0.20620437898042918,51441.57916564941,0.012575224775823344,505.8826776123047,1.2787334443820666,40228.5195,101.68672615046448,28.704475276257668,-0.21894206103169012,-0.1568296252342577,25.908770751953124,27.499915811217143,24.317625692689106
2015-01-20,25.575171956537133,25.716821407978077,25.405591788133528,25.43402099609375,46796000.0,0.0,0.0,0.11,-0.74,-0.51,0.03,-0.45,0.0,-0.386772,2022.55,5.39,6.73,218.0,13.18,3.42,3.99,59.19,46.79,118.48,1.1559,1.5162,2.94,1.79,1.59,0.0,0.0,0.0,19.89,25.43402099609375,25.138254165649414,25.028026580810547,25.575171956537133,25.38165095761289,25.066431316427522,25.716821407978077,25.424544015146342,25.367186915792516,25.405591788133528,25.038500789433062,24.80158799770511,25.34005355834961,25.197207641601562,0.14491712969396384,0.22016551857846192,51441.57916564941,0.012575224775823344,505.8826776123047,1.2787334443820666,40228.5195,101.68672615046448,31.12079858700406,-0.20316084365173026,-0.16609586891775222,25.836873722076415,27.373790966247658,24.299956477905173
2015-01-21,25.47890925862515,26.028050352029354,25.416563638075473,25.955230712890625,46356000.0,0.0,0.0,0.42,-0.92,0.58,0.2,-0.02,0.0,-0.399309,2032.12,5.36,6.74,225.51,13.18,3.46,3.99,59.19,47.85,117.86,1.1584,1.5118,2.94,1.84,1.61,0.0,0.0,0.0,18.85,25.43402099609375,25.459957122802734,25.2340145111084,25.575171956537133,25.095358532989064,24.959195676623573,25.716821407978077,25.4794077844162,25.350227597491997,25.405591788133528,25.092365684439912,24.84647583232577,25.484296798706055,25.273219299316406,0.2946065121062623,0.3254181195686621,52744.14343627929,0.012772489117358097,489.2560989379883,1.3769345858644437,38305.462,107.80471734497752,42.86637063221062,-0.14690343560497965,-0.1622573822551977,25.79562578201294,27.268909280353142,24.32234228367274
2015-01-22,26.085409012885936,26.875452587004574,26.03104495234376,26.798643112182617,56068000.0,0.0,0.0,1.58,0.46,0.42,0.01,-0.1,0.0,-0.413197,2063.15,5.27,6.69,226.32,13.18,3.51,3.99,59.19,45.93,117.92,1.1414,1.5052,2.95,1.87,1.61,0.0,0.0,0.0,16.4,25.955230712890625,25.43402099609375,25.138254165649414,25.47890925862515,25.575171956537133,25.38165095761289,26.028050352029354,25.716821407978077,25.424544015146342,25.416563638075473,25.405591788133528,25.038500789433062,25.816374588012696,25.424794006347657,0.5923585115882943,0.5821557470384611,55289.62053689957,0.012989187883717003,439.4977470397949,1.6340626080217402,33835.659999999996,125.801752559907,54.77440188646702,-0.03387224433589253,-0.13658035467133667,25.785101890563965,27.22450516482693,24.345698616301
2015-01-23,26.83505215497833,27.20314018221959,26.721333423133405,27.030567169189453,45966000.0,0.0,0.0,-0.47,0.43,-0.77,-0.05,-0.53,0.0,-0.428441,2051.82,5.3,6.67,235.0,13.18,3.39,3.99,59.19,45.26,117.8,1.1279,1.5022,2.96,1.79,1.6,0.0,0.0,0.0,16.66,26.798643112182617,25.43402099609375,25.459957122802734,26.085409012885936,25.575171956537133,25.095358532989064,26.875452587004574,25.716821407978077,25.4794077844162,26.03104495234376,25.405591788133528,25.092365684439912,26.13049659729004,25.630434799194337,0.7512358910688774,0.7455573773266784,55461.85832908631,0.01317394656327065,450.3292490386963,1.6224820494819303,34183.321200000006,123.15838946075064,64.85429401163978,0.07357202965993537,-0.09454987780508227,25.78617420196533,27.229443634469522,24.34290476946114
2015-01-26,27.008124334728006,27.008124334728006,26.537788564464677,26.76971435546875,30932000.0,0.0,0.0,0.43,0.58,-0.05,-0.42,-0.07,0.0,-0.479843,2057.09,5.26,6.64,274.48,13.18,3.41,3.99,59.19,44.8,118.38,1.129,1.5088,2.92,1.8,1.61,0.0,0.0,0.0,15.52,27.030567169189453,25.955230712890625,25.43402099609375,26.83505215497833,25.47890925862515,25.575171956537133,27.20314018221959,26.028050352029354,25.716821407978077,26.721333423133405,25.416563638075473,25.405591788133528,26.39763526916504,25.828244972229005,0.6753012633954179,0.7605370067733254,55067.711703491215,0.013013389898028208,415.46596679687497,1.7248516177160165,31926.0368,132.5443733605842,72.082236191525,0.13610481725546464,-0.04841893879297289,25.78470296859741,27.22367824909919,24.345727688095632
2015-01-27,26.50436951444889,26.57319932206257,25.978670823502956,25.99513053894043,39148000.0,0.0,0.0,-1.21,0.73,0.19,-0.36,0.49,0.0,-0.495519,2029.55,5.29,6.66,263.65,13.18,3.42,3.99,59.19,45.84,117.62,1.137,1.5196,2.96,1.81,1.66,0.0,0.0,0.0,17.22,26.76971435546875,26.798643112182617,25.43402099609375,27.008124334728006,26.085409012885936,25.575171956537133,27.008124334728006,26.875452587004574,25.716821407978077,26.537788564464677,26.03104495234376,25.405591788133528,26.509857177734375,25.924955368041992,0.4986521814214653,0.7070848730978925,52758.41718530655,0.012808322244269522,447.6361478805542,1.5095885855432392,34948.850999999995,117.85997801395006,59.761758171627854,0.12175652795904668,-0.014383845442568977,25.749564933776856,27.127684182074034,24.371445685479678
